Name                                             ;Stufe;Schule      ;Zeit                          ;Entfernung                                        ;Ziel/effekt/Bereich                                                                                                                                   ;Wirkungsdauer                                                                                    ;Komponenten                                                                                         ;Rettungswurf                                                                          ;Zauberresistenz                           ;Quelle /Seite
Flucht                                           ;6    ;Beschwörung ;1 Minute                      ;Unbegrenzt                                        ;Du und eine bereitwillige Kreatur/2 Stufen, von denen keine mehr als 9 m von den anderen entfernt sein darf                                           ;1 Stunde/ Stufe                                                                                  ;V, G, M (ein Türknauf aus Messing)                                                                  ;Nein                                                                                  ;Nein                                      ;EXP 220
Flüssige Gestalt                                 ;6    ;Verwandlung ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Minute/ Stufe                                                                                  ;G, M (eine Mischung aus Öl und Wasser)                                                              ;Nein                                                                                  ;Nein                                      ;EXP 221
Frostsphäre                                      ;6    ;Hervorrufung;1 Standard-Aktion             ;Lang (120m + 12m/ Stufe)                          ;Siehe Text                                                                                                                                            ;Augenblicklich oder 1 Runde/ Stufe, siehe Text                                                   ;V, G, F (eine kleine Kristallkugel)                                                                 ;Reflex halbiert, siehe Text                                                           ;Ja                                        ;GRW 277
Geas/Auftrag                                     ;6    ;Verzauberung;10 Minuten                    ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine lebende Kreatur                                                                                                                                  ;1 Tag/ Stufe oder bis der Zauber sich entlädt (A)                                                ;V                                                                                                   ;Nein                                                                                  ;Ja                                        ;GRW 278
Großer Heldenmut                                 ;6    ;Verzauberung;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Min./ Stufe                                                                                    ;V, G                                                                                                ;Willen, keine Wirkung (harmlos)                                                       ;Ja (harmlos)                              ;GRW 285
Härten                                           ;6    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;Pro Stufe ein Gegenstand mit einem Volumen von maximal 3m3                                                                                            ;Permanent                                                                                        ;V, G                                                                                                ;Keiner                                                                                ;Ja (Gegenstand)                           ;KPW 208
Innere Ruhe                                      ;6    ;Verzauberung;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;1 Kreatur/ Stufe von denen keine mehr als 9m von der anderen entfernt sein darf                                                                       ;1 Runde/ Stufe                                                                                   ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;ARM 223
Kräftige Hand                                    ;6    ;Hervorrufung;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;3 m große Hand                                                                                                                                        ;1 Runde/ Stufe (A)                                                                               ;V, G, F (ein weicher Handschuh)                                                                     ;Nein                                                                                  ;Ja                                        ;GRW 294
Kugel der Unverwundbarkeit                       ;6    ;Bannzauber  ;1 Standard-Aktion             ;3m                                                ;Kugelförmige Ausstrahlung mit einem Radius von 3 m mit dir im Zentrum                                                                                 ;1 Runde/ Stufe (A)                                                                               ;V, G, M (ein Glas- oder Kristallkügelchen)                                                          ;Nein                                                                                  ;Nein                                      ;GRW 295
Kugelblitz                                       ;6    ;Hervorrufung;1 Standard-Aktion             ;Lang (120m + 12m/ Stufe)                          ;Ein Primärziel und ein Sekundärziel pro Stufe (dürfen alle nicht weiter als 9 m vom Primärziel entfernt sein)                                         ;Augenblicklich                                                                                   ;V, G, F (ein Stückchen Fell, ein Stück Bernstein, Glas oder ein Zepter aus Kristall, eine Silbernade;Reflex, halbiert                                                                      ;Ja                                        ;GRW 295
Mächtige Ansteckung                              ;6    ;Nekromantie ;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 lebende Kreatur                                                                                                                                     ;Augenblicklich                                                                                   ;V, G                                                                                                ;Zähigkeit, keine Wirkung                                                              ;Ja                                        ;ARM 206
Mächtige Magie bannen                            ;6    ;Bannzauber  ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Ein Zauberkundiger, eine Kreatur oder ein Gegenstand oder ein Explosionsradius von 6 m                                                                ;Sofort                                                                                           ;V, G                                                                                                ;Nein                                                                                  ;Nein                                      ;GRW 299
Mächtiger Fluch                                  ;6    ;Nekromantie ;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 Kreatur                                                                                                                                             ;Permanent                                                                                        ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;ARM 216
Massen- Ausdauer des Ochsen                      ;6    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine Kreatur pro Stufe, zwei Ziele dürfen nicht weiter als 9 m weit voneinander entfernt sein.                                                        ;1 Min./ Stufe                                                                                    ;V, G, M/GF (ein Paar Haare oder ein wenig Dung eines Ochsen)                                        ;Willen, keine Wirkung (harmlos)                                                       ;Ja                                        ;GRW 247
Massen- Bärenstärke                              ;6    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine Kreatur pro Stufe, Ziele dürfen nicht weiter als 9 m voneinander entfernt sein                                                                   ;1 Min./ Stufe                                                                                    ;V, G, M/GF (ein Paar Haare oder ein wenig Dung eines Bären)                                         ;Willen, keine Wirkung (harmlos)                                                       ;Ja (harmlos)                              ;GRW 249
Massen- Katzenhafte Anmut                        ;6    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine Kreatur/ Stufe, keine zwei beliebigen Ziele dürfen mehr als 9 m voneinander entfernt sein                                                        ;1 Min./ Stufe                                                                                    ;V, G, M (ein Stückchen Katzenfell)                                                                  ;Willen, keine Wirkung (harmlos)                                                       ;Ja                                        ;GRW 292
Massen- Pracht des Adlers                        ;6    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine Kreatur/ Stufe, zwei beliebige Ziele dürfen nicht weiter als 9 m voneinander entfernt sein                                                       ;1 Min./ Stufe                                                                                    ;V, G, M/GF (Federn oder Dung von einem Adler)                                                       ;Willen, keine Wirkung (harmlos)                                                       ;Ja                                        ;GRW 316
Massen- Schläue des Fuchses                      ;6    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine Kreatur/ Stufe, zwei beliebige Ziele dürfen nicht weiter als 9 m voneinander entfernt sein                                                       ;1 Min./ Stufe                                                                                    ;V, G, M/GF (Haare oder Dung von einem Fuchs)                                                        ;Willen, keine Wirkung (harmlos)                                                       ;Ja                                        ;GRW 324
Massen- Weisheit der Eule                        ;6    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine Kreatur/ Stufe, zwei beliebige Ziele dürfen nicht weiter als 9 m voneinander entfernt sein                                                       ;1 Min./ Stufe                                                                                    ;V, G, M/GF (Federn oder Dung von einer Eule)                                                        ;Willen, keine Wirkung (harmlos)                                                       ;Ja                                        ;GRW 362
Masseneinflüsterung                              ;6    ;Verzauberung;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Eine Kreatur/ Stufe, von denen keiner weiter als 9 m von einem anderen Ziel entfernt sein darf                                                        ;1 Stunde/ Stufe oder bis ausgeführt                                                              ;V, M (die Zunge einer Schlange und eine Honigwabe)                                                  ;Willen, keine Wirkung                                                                 ;Ja                                        ;GRW 263
Monster herbeizaubern VI                         ;6    ;Beschwörung ;1 Runde                       ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine oder 1W3 oder 1W4+1 beschworene Kreatur (siehe Text)                                                                                             ;1 Runde/ Stufe                                                                                   ;V, G, F/GF (ein kleiner Beutel und eine kleine Kerze)                                               ;Nein                                                                                  ;Nein                                      ;GRW 308
Monstergestalt IV                                ;6    ;Verwandlung ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Min./ Stufe (A)                                                                                ;V, G, M (ein Stück der Kreatur, deren Gestalt du annehmen willst)                                   ;Keiner                                                                                ;Nein                                      ;ARM 229
Notfall                                          ;6    ;Hervorrufung;Mindestens 10 Minuten, siehe T;PersönlichZielt: Du                               ;Du                                                                                                                                                    ;1 Tag/ Stufe (A) oder bis der Zauber sich entlädt                                                ;V, G, M (Quecksilber und die Wimper einer zauberwirkenden Kreatur), F (Elfenbeinstatuette im Wert vo;Nein                                                                                  ;Nein                                      ;GRW 310
Pflanzengestalt II                               ;6    ;Verwandlung ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Min./ Stufe                                                                                    ;V, G, M (ein Teil der Kreatur, dessen Form du annehmen möchtest)                                    ;Nein                                                                                  ;Nein                                      ;GRW 313
Rachsucht                                        ;6    ;Verzauberung;1 Runde                       ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 Kreatur                                                                                                                                             ;1 Min./ Stufe                                                                                    ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;ARM 230
Resistenz gegen Alterung                         ;6    ;Verwandlung ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;24 Stunden                                                                                       ;V, G                                                                                                ;Keiner                                                                                ;Nein                                      ;ARM 230
Sagenkunde                                       ;6    ;Erkenntnis  ;Siehe Text                    ;Persönlich                                        ;Du                                                                                                                                                    ;Siehe Text                                                                                       ;V, G, M (Weihrauch im Wert von 250 GM), F (vier Stücke Elfenbein im Wert von jeweils 50 GM)         ;Nein                                                                                  ;Nein                                      ;GRW 320
Säurenebel                                       ;6    ;Beschwörung ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Nebel verbreitet sich in einem Radius von 6 m und einer Höhe von 6m                                                                                   ;1 Runde/ Stufe                                                                                   ;V, G, M/GF (gemahlene Erbsen und ein Tierhuf )                                                      ;Nein                                                                                  ;Nein                                      ;GRW 320
Schattenreise                                    ;6    ;Illusion    ;1 Standard-Aktion             ;Berührung                                         ;Bis zu eine Kreatur/ Stufe                                                                                                                            ;1 Stunde/ Stufe (A)                                                                              ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;GRW 322
Schleier                                         ;6    ;Illusion    ;1 Standard-Aktion             ;Lang (120m + 12m/ Stufe)                          ;Eine oder mehrere Kreaturen, von denen keine weiter als 9 m von den anderen entfernt sein darf                                                        ;Konzentration oder +1 Stunde/ Stufe (A)                                                          ;V, G                                                                                                ;Willen, keine Wirkung, siehe Text                                                     ;Ja, siehe Text                            ;GRW 324
Schwarzen Blob herbeizaubern                     ;6    ;Beschwörung ;1 Runde                       ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 herbeigezauberte Kreatur                                                                                                                            ;1 Runde/ Stufe (A)                                                                               ;V, G, M (eine Säureflasche im Wert von 10 GM)                                                       ;Keiner                                                                                ;Nein                                      ;ARM 236
Scirocco                                         ;6    ;Hervorrufung;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Zylinder (Radius 6 m, Höhe 18 m)                                                                                                                      ;1 Runde/ Stufe (A)                                                                               ;V, G, M/GF (eine Handvoll feiner Sand, der in die Luft geworfen wird)                               ;Zähigkeit, teilweise (siehe Text)                                                     ;Ja                                        ;EXP 242
Stein zu Fleisch                                 ;6    ;Verwandlung ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Eine versteinerte Kreatur oder ein Zylinder aus Stein, der einen Durchmesser von 30 cm bis 90 cm haben muss und bis zu 3 m lang sein kann             ;Augenblicklich                                                                                   ;V, G, M (ein Blutstropfen, der mit Erde vermischt wurde)                                            ;Zähigkeit, keine Wirkung (Gegenstand) (siehe Text)                                    ;Ja                                        ;GRW 335
Symbol der Furcht                                ;6    ;Nekromantie ;10 Minuten                    ;0 m, siehe Text                                   ;Ein Symbol                                                                                                                                            ;Siehe Text                                                                                       ;V, G, M (Quecksilber und Phosphor, Diamantstaub und Opalstaub im Wert von je 1.000 GM)              ;Willen, keine Wirkung                                                                 ;Ja                                        ;GRW 337
Symbol der Überredung                            ;6    ;Verzauberung;10 Minuten                    ;0 m, siehe Text                                   ;Ein Symbol                                                                                                                                            ;Siehe Text                                                                                       ;V, G, M (Quecksilber und Phosphor, Diamantstaub und Opalstaub im Wert von je 5.000 GM)              ;Willen, keine Wirkung                                                                 ;Ja                                        ;GRW 338
Symbol des Versiegelns                           ;6    ;Bannzauber  ;10 Minuten                    ;0 m, siehe Text                                   ;Ein Symbol                                                                                                                                            ;Permanent                                                                                        ;V, G, M (Quecksilber und Phosphor, sowie Diamant- und Opalpulver im Wert von mindestens 5000 GM (ges;Keiner                                                                                ;Nein                                      ;ARM 240
Teerlache                                        ;6    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;Explosion mit 6 m Radius                                                                                                                              ;1 Runde/ Stufe                                                                                   ;V, G, M/GF (ein Ball gehärtetem Teers)                                                              ;Reflex, teilweise (Siehe Text)                                                        ;Nein                                      ;ARK 244
Tod den Untoten                                  ;6    ;Nekromantie ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Mehrere untote Kreaturen innerhalb eines Explosionsradius von 12 m                                                                                    ;Augenblicklich                                                                                   ;V, G, M/GF (Diamantenstaub im Wert von 500 GM)                                                      ;Willen, keine Wirkung                                                                 ;Ja                                        ;GRW 344
Todeskreis                                       ;6    ;Nekromantie ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Mehrere lebende Kreaturen innerhalb eines Explosionsradius von 12 m                                                                                   ;Augenblicklich                                                                                   ;V, G, M (eine zerstoßene schwarze Perle im Wert von 500GM)                                          ;Zähigkeit, keine Wirkung                                                              ;Ja                                        ;GRW 344
Traumumhang                                      ;6    ;Verzauberung;1 Runde                       ;1,5m                                              ;Radius von 1,50 m um dich herum                                                                                                                       ;1 Runde/ Stufe (A)                                                                               ;V, G, M (ein Blütenblatt einer Rose und ein Tropfen Parfüm)                                         ;Willen, keine Wirkung                                                                 ;Ja                                        ;EXP 247
Umwandlung                                       ;6    ;Verwandlung ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Runde/ Stufe                                                                                   ;V, G, M (ein Trank der Bärenstärke, den du einnimmst und dessen Wirkung vom Zaubereffekt aufgebrauch;Nein                                                                                  ;Nein                                      ;GRW 347
Untote erschaffen                                ;6    ;Nekromantie ;1 Stunde                      ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine Leiche                                                                                                                                           ;Augenblicklich                                                                                   ;V, G, M (ein Lehmtiegel, der mit Graberde und einem Onyx im Wert von mindestens 50 GM pro TW des e  ;Nein                                                                                  ;Nein                                      ;GRW 350
Untotengestalt III                               ;6    ;Verwandlung ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Min./ Stufe (A)                                                                                ;V, G, M (ein Stück der Kreatur, dessen Gestalt du annehmen willst)                                  ;Keiner                                                                                ;Nein                                      ;ARM 243
Unwilliger Schild                                ;6    ;Nekromantie ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine Kreatur                                                                                                                                          ;1 Runde/ Stufe (A)                                                                               ;V, G, M (Rubinstaub im Wert von 250 GM )                                                            ;Willen, keine Wirkung                                                                 ;Ja                                        ;EXP 249
Verachtung                                       ;6    ;Verzauberung;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 Kreatur                                                                                                                                             ;1 Min./ Stufe                                                                                    ;V, G, M (Speichel)                                                                                  ;Willen, keine Wirkung                                                                 ;Ja                                        ;ARM 244
Verbindung im Kampf                              ;6    ;Erkenntnis  ;1 Standard-Aktion             ;Persönlich und Nah (7,50 m + 1,50 m/2 Stufen)     ;Du und 1 Verbündeter                                                                                                                                  ;1 Min./ Stufe                                                                                    ;V, G                                                                                                ;Willen, keine Wirkung (harmlos)                                                       ;Ja                                        ;ARM 244
Vorbestimmtes Trugbild                           ;6    ;Illusion    ;1 Standard-Aktion             ;Lang (120m + 12m/ Stufe)                          ;Visuelles Trugbild, das nicht größer sein darf als ein Würfel mit 6 m Kantenlänge plus 1 Würfel/ Stufe mit jeweils 3 m Kantenlänge (F)                ;Permanent bis es ausgelöst wird, dann 1 Runde/ Stufe                                             ;V, G, M (Pelz und Jadepulver im Wert von 25 GM)                                                     ;Willen, anzweifeln (falls mit der Illusion interagiert wird)                          ;Nein                                      ;GRW 358
Wächter und Hüter                                ;6    ;Bannzauber  ;30 Minuten                    ;Irgendwo innerhalb des Bereichs, der geschützt wer;Bis zu 18 m²/ Stufe (F)                                                                                                                               ;2 Stunden/ Stufe (A)                                                                             ;V, G, M (brennender Weihrauch, ein wenig Schwefel und Öl, ein verknoteter Faden und eine kleine Meng;Siehe Text                                                                            ;Siehe Text                                ;GRW 360
Wahrer Blick                                     ;6    ;Erkenntnis  ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Min./ Stufe                                                                                    ;V, G, M (eine Augensalbe im Wert von 250 GM)                                                        ;Willen, keine Wirkung (harmlos)                                                       ;Ja (harmlos)                              ;GRW 359
Wasser kontrollieren                             ;6    ;Verwandlung ;1 Standard-Aktion             ;Lang (120m + 12m/ Stufe)                          ;Wasser in einem Würfel mit den Ausmaßen 3 m/ Stufe x 3 m/ Stufe x 60 cm/ Stufe (F)                                                                    ;10 Minuten/ Stufe (A)                                                                            ;V, G, M/GF (ein Tropfen Wasser für Wasser steigen lassen oder eine Prise Staub für Wasser sinken las;Nein, siehe Text                                                                      ;Nein                                      ;GRW 360
Zauber analysieren                               ;6    ;Erkenntnis  ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Ein Gegenstand oder eine Kreatur pro Zauberstufe                                                                                                      ;1 Runde/ Stufe (A)                                                                               ;V, G, F (ein Rubin und eine goldene Linse im Wert von 1.500 GM)                                     ;Nein oder Willen, keine Wirkung (siehe Text)                                          ;Nein                                      ;GRW 367
Zwanghafter Neid                                 ;6    ;Verzauberung;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;1 Kreatur/ Stufe, von denen keine weiter als 9 m von der anderen entfernt sein darf.                                                                  ;1 Runde/ Stufe                                                                                   ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;ARM 249
Angriff zurückwerfen                             ;7    ;Bannzauber  ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Runde/ Stufe                                                                                   ;V, G, M (ein Stück in Leim getauchtes Gummi)                                                        ;Nein                                                                                  ;Nein                                      ;EXP 203
Arkane Kanone                                    ;7    ;Verwandlung ;1 Runde                       ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 magisch erschaffene Kanone                                                                                                                          ;1 Runde/ Stufe                                                                                   ;V, G, F (eine verzierte Miniaturkanone im Wert von 5.000 GM, die mit einem Tropfen deines Blutes ges;Keiner                                                                                ;Nein                                      ;ARK 222
Ätherischer Ausflug                              ;7    ;Verwandlung ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Runde/ Stufe (A)                                                                               ;V, G                                                                                                ;Nein                                                                                  ;Ja                                        ;GRW 245
Äthertor                                         ;7    ;Beschwörung ;1 Standard-Aktion             ;Berührung                                         ;Ätherische Öffnung von 1,50 m x 2,50 m und einer Tiefe von 3 m + 1,50 m pro drei Zauberstufen                                                         ;Eine Anwendung pro zwei Stufen                                                                   ;V                                                                                                   ;Nein                                                                                  ;Nein                                      ;GRW 246
Befristete Auferstehung                          ;7    ;Nekromantie ;10 Minuten                    ;Berührung                                         ;Berührte tote Kreatur                                                                                                                                 ;24 Stunden                                                                                       ;V, G, F (Diamantstaub im Wert von 500 GM)                                                           ;Nein                                                                                  ;Nein                                      ;ARM 208
Begrenzter Wunsch                                ;7    ;Allgemein   ;1 Standard-Aktion             ;Siehe Text                                        ;siehe Text                                                                                                                                            ;siehe Text                                                                                       ;V, G, M (Diamant im Wert von 1.500 GM)                                                              ;Nein (siehe Text)                                                                     ;Ja                                        ;GRW 250
Des Magiers Herrliches Herrenhaus                ;7    ;Beschwörung ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Außerdimensionales Herrenhaus von bis zu drei Würfeln mit einer Kantenlänge von 3 m/ Stufe (F)                                                        ;2 Stunde/ Stufe (A)                                                                              ;V, G, F (eine Elfenbeintür im Miniaturformat, ein Stück polierter Marmor und ein Silberlöffel, jewei;Nein                                                                                  ;Nein                                      ;GRW 258
Des Magiers Schwert                              ;7    ;Hervorrufung;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Ein Schwert                                                                                                                                           ;1 Runde/ Stufe (A)                                                                               ;V, G, F (ein Platinschwert im Miniaturformat im Wert von 250 GM)                                    ;Nein                                                                                  ;Ja                                        ;GRW 258
Drachengestalt II                                ;7    ;Verwandlung ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Min./ Stufe (A)                                                                                ;V, G, M (eine Schuppe der Art von Drachen, in die du dich verwandeln möchtest)                      ;siehe Text                                                                            ;Nein                                      ;GRW 261
Ebenenwechsel                                    ;7    ;Beschwörung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur oder bis zu acht bereitwillige Kreaturen, die sich an den Händen halten                                                              ;Augenblicklich                                                                                   ;V, G, F (ein gegabelter Metallstab, der durch Größe und Material die Ebene bestimmt, auf die gereist;Willen, keine Wirkung                                                                 ;Ja                                        ;GRW 262
Eisleib                                          ;7    ;Verwandlung ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Min/ Stufe                                                                                     ;V, G                                                                                                ;Nein                                                                                  ;Nein                                      ;ARM 212
Elementargestalt IV                              ;7    ;Verwandlung ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Min./ Stufe (A)                                                                                ;V, G, M (das Element, dessen Form du annehmen möchtest)                                             ;Nein                                                                                  ;Nein                                      ;GRW 265
Energiekäfig                                     ;7    ;Hervorrufung;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Gitterkäfig (Würfel mit 3 m Kantenlänge) oder fensterlose Zelle (Würfel mit 3 m Kantenlänge)                                                          ;1 Runde/ Stufe (A)                                                                               ;V, G, M (Rubinstaub im Wert von 500 GM)                                                             ;Reflex, keine Wirkung                                                                 ;Nein                                      ;GRW 266
Epidemie                                         ;7    ;Nekromantie ;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 lebende Kreatur                                                                                                                                     ;Augenblicklich                                                                                   ;V, G                                                                                                ;Zähigkeit, keine Wirkung                                                              ;Ja                                        ;ARM 215
Erdwall                                          ;7    ;Beschwörung ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Ein Erdwall von 3 m Höhe in einer Linie von bis zu 3 m/2 Stufen Länge oder einem Kreis mit bis zu 90 cm + 30cm / Stufe Radius                         ;Augenblicklich                                                                                   ;V, G, M (eine Handvoll Erde)                                                                        ;Nein                                                                                  ;Nein                                      ;EXP 215
Erzwungene Verschwendung                         ;7    ;Bannzauber  ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Explosion mit einem Radius von 6 m                                                                                                                    ;Augenblicklich                                                                                   ;V, G, M (Zerbrochene Miniatursanduhr)                                                               ;Willen , keine Wirkung                                                                ;Ja                                        ;EXP 216
Feindseliger Austausch, Mächtiger                ;7    ;Beschwörung ;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 Kreatur pro 4 Stufen                                                                                                                                ;1 Runde/Stufe oder bis entladen                                                                  ;V, G, M (eine Münze)                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;ARK 228
Feuersegen                                       ;7    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine Kreatur/4 Stufen, von denen keine mehr als 9 m von den anderen entfernt sein darf                                                                ;1 Runde/ Stufe                                                                                   ;V, G                                                                                                ;Willen, keine Wirkung (harmlos) (siehe Text)                                          ;Ja (harmlos)                              ;EXP 218
Finger des Todes                                 ;7    ;Nekromantie ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine Kreatur                                                                                                                                          ;Augenblicklich                                                                                   ;V, G                                                                                                ;Zähigkeit, teilweise                                                                  ;Ja                                        ;GRW 274
